v 480
Track0
00 FF 51 00 92 7C 00 C0 69 1E B0 07 7F 1E 0A 40 
6E FE 00 FD 28 FE 00 EB 09 30 6E 6E FE 01 08 0A 
0C 27 7F 5A 64 FE 01 06 1D FE 00 FF 09 30 6E 6E 
78 24 7F 78 78 FF 2F 

Track3
00 C3 7A 1E B3 07 3C 1E 0A 37 1E 5B 2D 9D 26 E3 
00 00 00 93 2E 49 81 66 3C E3 07 04 3C 05 08 3C 
04 0C 3C 03 10 00 93 2E 4E 81 66 3C E3 01 14 3C 
00 18 3C 07 1C 3C 06 20 00 93 2E 4B 81 66 3C E3 
04 24 3C 03 28 3C 02 2C 3C 00 30 00 93 2E 4A 81 
66 3C E3 04 34 3C 06 38 3C 05 3C 3C 03 40 FE 00 
26 08 02 44 3C 01 48 3C 02 4C 3C 06 50 FE 00 48 
08 05 54 3C 04 58 3C 02 5C 3C 01 60 FE 00 57 08 
00 64 3C 07 68 3C 05 6C 3C 04 70 FE 00 66 08 03 
74 3C 01 78 3C 00 7C 26 48 7E 16 FE 00 8B 4E FE 
00 67 08 FE 00 41 0B FE 00 82 08 FE 00 3A 0B FE 
00 8A 08 FE 00 33 0B FE 00 92 08 FE 00 2C 0C FE 
00 AF 4E FE 00 8B 08 FE 00 65 0B FE 00 A6 08 FE 
00 5E 0B FE 00 AE 08 FE 00 57 0B FE 00 B6 08 FE 
00 50 0C FE 00 D3 4E FE 00 AF 08 FE 00 89 0B FE 
00 CA 08 FE 00 82 0B FE 00 D2 08 FE 00 7B 0B FE 
00 DA 08 FE 00 74 0C 93 2E 49 81 66 81 70 2E 4E 
81 66 81 70 2E 4B 81 66 81 70 2E 4A 81 66 81 70 
2E 4B FE 00 18 0B 4E FE 00 1D 0B FE 00 22 19 FE 
00 25 0B 4E FE 00 2A 0B FE 00 2F 19 FE 00 32 0B 
4E FE 00 37 0A E3 7F 7F 00 93 2E 49 81 66 5D E3 
6F 7C 5E 5F 79 35 93 2E 4E 81 66 29 E3 4F 76 5E 
3F 73 5D 2F 70 0C 93 2E 4B 81 66 52 E3 1F 6D 5E 
0F 6A 40 93 2E 4A 81 66 1E E3 7F 66 5D 6F 63 5E 
5F 60 17 93 2E 4B 81 66 47 E3 4F 5D 5E 3F 5A 4B 
93 2E 4E 81 66 12 E3 2F 57 5E 1F 54 5E 0F 51 22 
FE 01 7A 07 7F 4D 5D 6F 4A 57 93 2E 4E 81 66 07 
E3 5F 47 5E 4F 44 5E 00 40 0F B3 07 3A 1E E3 2C 
5B 00 93 2E 49 81 66 78 E3 00 40 78 50 4F 00 93 
2E 4E 81 66 78 E3 00 40 78 2C 5B 00 93 2E 4B FE 
00 1A 0C 4A FE 00 1F 07 2C 5B 00 93 2E 4B FE 00 
29 19 FE 00 21 08 FE 00 2A 12 FE 00 36 1B FE 00 
39 0C 4A FE 00 31 0D FE 00 42 19 FE 00 3A 08 FE 
00 43 12 FE 00 4F 1B FE 00 52 0C 4A FE 00 4A 0D 
FE 00 5B 19 FE 00 53 08 FE 00 5C 12 FE 00 68 1B 
FE 00 6B 0C 4A FE 00 63 0D FE 00 74 19 FE 00 6C 
08 FE 00 75 12 FE 00 81 1B FE 00 84 0C 4A FE 00 
7C 0D FE 00 8D 19 FE 00 85 08 FE 00 8E 12 FE 00 
9A 1B FE 00 9D 0C 4A FE 00 95 0D FE 00 A6 19 FE 
00 9E 08 FE 00 A7 12 FE 00 B3 1B FE 00 B6 0C 4A 
FE 00 AE 0D FE 00 BF 19 FE 00 B7 08 FE 00 C0 12 
FE 00 CC 1B FE 00 CF 0C 4A FE 00 C7 0D FE 00 D8 
19 FE 00 D0 08 FE 00 D9 12 FE 00 E5 1B FE 00 E8 
0C 4A FE 00 E0 0D FE 00 F1 19 FE 00 E9 08 FE 00 
F2 12 FE 00 FE 1B FE 01 01 0C 4A FE 00 F9 0D FE 
01 0A 19 FE 01 02 08 FE 01 0B 12 FE 01 17 1B FE 
01 1A 0C 4A FE 01 12 0D FE 01 23 19 FE 01 1B 08 
FE 01 24 12 FE 01 30 1B FE 01 33 0C 4A FE 01 2B 
0D FE 01 3C 19 FE 01 34 08 FE 01 3D 12 FE 01 49 
1B FE 01 4C 0C 4A FE 01 44 0D FE 01 55 19 FE 01 
4D 08 FE 01 56 12 FE 01 62 1B FE 01 65 0C 4A FE 
01 5D 0D FE 01 6E 19 FE 01 66 08 FE 01 6F 12 FE 
01 7B 1B FE 01 7E 0C 4A FE 01 76 0D FE 01 87 19 
FE 01 7F 08 FE 01 88 12 FE 01 94 1B FE 01 97 0C 
4A FE 01 8F 0D FE 01 A0 19 FE 01 98 08 FE 01 A1 
12 FE 01 AD 1B FE 01 B0 0C 4A FE 01 A8 0D FE 01 
B9 19 FE 01 B1 08 FE 01 BA 12 FE 01 C6 1B FE 01 
C9 0C 4A FE 01 C1 0D FE 01 D2 19 FE 01 CA 08 FE 
01 D3 12 FE 01 DF 1B FE 01 E2 0C 4A FE 01 DA 0D 
FE 01 EB 19 FE 01 E3 08 FE 01 EC 12 FE 01 F8 1B 
FE 01 FB 0C 4A FE 01 F3 0D FE 02 04 19 FE 01 FC 
08 FE 02 05 12 FE 02 11 1B FE 02 14 0C 4A FE 02 
0C 0D FE 02 1D 19 FE 02 15 08 FE 02 1E 12 FE 02 
2A 1B FE 02 2D 0C 4A FE 02 25 0D FE 02 36 19 FE 
02 2E 08 FE 02 37 12 FE 02 43 1B FE 02 46 0C 4A 
FE 02 3E 0D FE 02 4F 19 FE 02 47 08 FE 02 50 12 
FE 02 5C 1B FE 02 5F 0C 4A FE 02 57 0D FE 02 68 
19 FE 02 60 08 FE 02 69 12 FE 02 75 1B FE 02 78 
0C 4A FE 02 70 0D FE 02 81 19 FE 02 79 08 FE 02 
82 12 FE 02 8E 1B FE 02 91 0C 4A FE 02 89 0D FE 
02 9A 19 FE 02 92 08 FE 02 9B 12 FE 02 A7 1B FE 
02 AA 0C 4A FE 02 A2 0D FE 02 B3 19 FE 02 AB 08 
FE 02 B4 12 FE 02 C0 1B FE 02 C3 0C 4A FE 02 BB 
0D FE 02 CC 19 FE 02 C4 08 FE 02 CD 12 FE 02 D9 
1B FE 02 DC 0C 4A FE 02 D4 0D FE 02 E5 19 FE 02 
DD 08 FE 02 E6 12 FE 02 F2 1B FE 02 F5 0C 4A FE 
02 ED 0D FE 02 FE 19 FE 02 F6 08 FE 02 FF 12 FE 
03 0B 1B FE 03 0E 0C 4A FE 03 06 0D FE 03 17 19 
FE 03 0F 08 FE 03 18 12 FE 03 24 1B FE 03 27 0C 
4A FE 03 1F 0D FE 03 30 19 FE 03 28 08 FE 03 31 
12 FE 03 3D 1B FE 03 40 0C 4A FE 03 38 0D FE 03 
49 19 FE 03 41 08 FE 03 4A 12 FE 03 56 1B FE 03 
59 0C 4A FE 03 51 0D FE 03 62 19 FE 03 5A 08 FE 
03 63 12 FE 03 6F 1B FE 03 72 0C 4A FE 03 6A 0D 
FE 03 7B 19 FE 03 73 08 FE 03 7C 12 FE 03 88 1B 
FE 03 8B 0C 4A FE 03 83 0D FE 03 94 19 FE 03 8C 
08 FE 03 95 12 FE 03 A1 1B FE 03 A4 0C 4A FE 03 
9C 0D FE 03 AD 19 FE 03 A5 08 FE 03 AE 12 FE 03 
BA 1B FE 03 BD 0C 4A FE 03 B5 0D FE 03 C6 19 FE 
03 BE 08 FE 03 C7 12 FE 03 D3 1B FE 03 D6 0C 4A 
FE 03 CE 0D FE 03 DF 19 FE 03 D7 08 FE 03 E0 12 
FE 03 EC 1B FE 03 EF 0C 4A FE 03 E7 0D FE 03 F8 
19 FE 03 F0 08 FE 03 F9 12 FE 04 05 1B FE 04 08 
0C 4A FE 04 00 0D FE 04 11 19 FE 04 09 08 FE 04 
12 12 FE 04 1E 1B FE 04 21 0C 4A FE 04 19 0D FE 
04 2A 19 FE 04 22 08 FE 04 2B 12 FE 04 37 1B FE 
04 3A 0C 4A FE 04 32 0D FE 04 43 19 FE 04 3B 08 
FE 04 44 12 FE 04 50 1B FE 04 53 0C 4A FE 04 4B 
0D FE 04 5C 19 FE 04 54 08 FE 04 5D 12 FE 04 69 
1B FE 04 6C 0C 4A FE 04 64 0D FE 04 75 19 FE 04 
6D 08 FE 04 76 12 FE 04 82 1B FE 04 85 0C 4A FE 
04 7D 0D FE 04 8E 19 FE 04 86 08 FE 04 8F 12 FE 
04 9B 1B FE 04 9E 0C 4A FE 04 96 0D FE 04 A7 19 
FE 04 9F 08 FE 04 A8 12 FE 04 B4 1B FE 04 B7 0C 
4A FE 04 AF 0D FE 04 C0 19 FE 04 B8 08 FE 04 C1 
12 FE 04 CD 1B FE 04 D0 0C 4A FE 04 C8 0D FE 04 
D9 19 FE 04 D1 08 FE 04 DA 12 FE 04 E6 1B FE 04 
E9 0C 4A FE 04 E1 0D FE 04 F2 19 FE 04 EA 08 FE 
04 F3 0D B3 07 3C 34 FE 06 B4 4B FE 06 93 08 FE 
06 6D 0B FE 06 AE 08 FE 06 66 0B FE 06 B6 08 FE 
06 5F 0B FE 06 BE 08 FE 06 58 0C FE 06 DB 4E FE 
06 B7 08 FE 06 91 0B FE 06 D2 08 FE 06 8A 0B FE 
06 DA 08 FE 06 83 0B 00 93 2E 4E 83 22 3C E3 FE 
06 80 08 08 00 00 00 93 2E 49 2A 1E E3 48 7E 1E 
FE 07 06 44 FE 06 EC 08 FE 06 C6 0B FE 07 07 08 
FE 06 BF 0B FE 07 0F 08 FE 06 B8 0B FE 07 17 08 
FE 06 B1 0C FE 07 34 4E FE 07 10 08 FE 06 EA 0B 
FE 07 2B 08 FE 06 E3 0B FE 07 33 08 FE 06 DC 0B 
FE 07 3B 08 FE 06 D5 0C FE 07 58 4E FE 07 34 08 
FE 07 0E 0B FE 07 4F 08 FE 07 07 0B FE 07 57 08 
FE 07 00 0B FE 07 5F 08 FE 06 F9 0C FE 07 7C 4E 
FE 07 58 08 FE 07 32 0B FE 07 73 08 FE 07 2B 0B 
FE 07 7B 08 FE 07 24 0B FE 07 83 08 FE 07 1D 0C 
FE 07 A0 4E FE 07 7C 08 FE 07 56 0B FE 07 97 08 
FE 07 4F 0B FE 07 9F 08 FE 07 48 0B FE 07 A7 08 
FE 07 41 0C FE 07 C4 4E FE 07 A0 08 FE 07 7A 0B 
FE 07 BB 08 FE 07 73 0B FE 07 C3 08 FE 07 6C 0B 
FE 07 CB 08 FE 07 65 0C B3 07 3A 00 E3 2C 5B 78 
FE 06 37 16 FE 06 3F 0C 4A FE 06 37 0D FE 06 48 
19 FE 06 40 08 FE 06 49 12 FE 06 55 1B FE 06 58 
0C 4A FE 06 50 0D FE 06 61 19 FE 06 59 08 FE 06 
62 12 FE 06 6E 1B FE 06 71 0C 4A FE 06 69 0D FE 
06 7A 19 FE 06 72 08 FE 06 7B 12 FE 06 87 1B FE 
06 8A 0C 4A FE 06 82 0D FE 06 93 19 FE 06 8B 08 
FE 06 94 12 FE 06 A0 1B FE 06 A3 0C 4A FE 06 9B 
0D FE 06 AC 19 FE 06 A4 08 FE 06 AD 12 FE 06 B9 
1B FE 06 BC 0C 4A FE 06 B4 0D FE 06 C5 19 FE 06 
BD 08 FE 06 C6 12 FE 06 D2 1B FE 06 D5 0C 4A FE 
06 CD 0D FE 06 DE 19 FE 06 D6 08 FE 06 DF 12 FE 
06 EB 1B FE 06 EE 0C 4A FE 06 E6 0D FE 06 F7 19 
FE 06 EF 08 FE 06 F8 12 FE 07 04 1B FE 07 07 0C 
4A FE 06 FF 0D FE 07 10 19 FE 07 08 08 FE 07 11 
12 FE 07 1D 1B FE 07 20 0C 4A FE 07 18 0D FE 07 
29 19 FE 07 21 08 FE 07 2A 12 FE 07 36 1B FE 07 
39 0C 4A FE 07 31 0D FE 07 42 19 FE 07 3A 08 FE 
07 43 12 FE 07 4F 1B FE 07 52 0C 4A FE 07 4A 0D 
FE 07 5B 19 FE 07 53 08 FE 07 5C 12 FE 07 68 1B 
FE 07 6B 0C 4A FE 07 63 0D FE 07 74 19 FE 07 6C 
08 FE 07 75 12 FE 07 81 1B FE 07 84 0C 4A FE 07 
7C 0D FE 07 8D 19 FE 07 85 08 FE 07 8E 12 FE 07 
9A 1B FE 07 9D 0C 4A FE 07 95 0D FE 07 A6 19 FE 
07 9E 08 FE 07 A7 12 FE 07 B3 1B FE 07 B6 0C 4A 
FE 07 AE 0D FE 07 BF 19 FE 07 B7 08 FE 07 C0 0D 
93 2E 49 81 66 81 66 FF 2F 

Track4
00 C4 1C 1E B4 07 7D 1E 0A 46 1E 5B 0A 81 95 26 
94 21 7F 83 42 83 60 21 7F 82 56 82 74 21 79 82 
3E 82 5C 1C 7F 83 42 83 60 1F 7B 81 52 81 70 FE 
00 1E 12 21 7F 83 42 83 60 24 7B 81 52 81 70 FE 
00 2E 1E FE 00 32 12 21 7F 83 42 83 60 24 7B 81 
52 81 70 FE 00 42 1E FE 00 46 12 FE 00 28 0C FE 
00 4E 1E FE 00 52 12 FE 00 34 0C FE 00 5A 1E FE 
00 5E 12 FE 00 40 0C 1D 7F 83 42 83 60 1D 7F 82 
56 82 74 1D 79 82 3E 82 5C 18 7F 83 42 83 60 1B 
7B 81 52 81 70 FE 00 1E 12 1D 7F 83 42 83 60 20 
7B 81 52 81 70 FE 00 94 1E FE 00 98 12 FE 00 7A 
0C FE 00 3A 1E FE 00 3E 12 FE 00 20 0C 26 7F 83 
42 83 60 26 7F 82 56 82 74 26 79 82 3E 82 5C FE 
00 9C 0C 26 7F 83 42 83 60 26 7F 82 56 82 74 26 
79 82 3E 82 5C 26 7F 83 42 83 60 29 7B 81 52 81 
70 28 7F 83 42 83 60 28 7F 82 56 82 74 28 79 82 
3E 82 5C 23 7F 83 42 83 60 26 FE 00 1E 17 28 7F 
83 42 83 60 2B 7B 81 52 81 70 FE 00 5D 12 FE 00 
EB 0C FE 00 AB 12 FE 01 03 0C FE 01 19 1E FE 01 
1D 12 FE 00 FF 0C FE 01 25 1E FE 01 29 12 FE 01 
0B 0C FE 01 31 1E FE 01 35 12 FE 01 17 0C FE 01 
3D 1E FE 01 41 12 FE 01 23 0C FE 01 49 1E FE 00 
E7 1E FE 00 EB 12 FE 00 CD 0C FE 01 59 1E FE 01 
5D 12 FE 01 3F 0C FE 00 FF 1E FE 01 03 12 FE 00 
E5 0C FE 00 C5 12 FE 01 53 0C FE 00 B7 37 FE 00 
